begin;0,0;0,274.5;74.75,0;74.75,274.5;0,0;0,274.5;74.75,0;74.75,274.5
5868;0.25,13.75;22.25,210.5;24.25,14.5;51,221.25;0.25,13.75;32.75,253.75;44,57.25;67.75,265.5
255;3.75,15.25;14.75,186.25;18.5,36.5;57.25,237.25;14.25,5.25;32.75,253.75;44,57.25;67.75,265
9978;7.75,43.25;20.5,154.75;38.75,45.5;57.25,237.25;8.25,33;21.75,252;42.25,76.5;67.75,265
12167;2,34;3.5,163.5;38.75,45.5;52,248.25;11.5,37.5;30,252;42.25,76.5;67.75,265.5
12953;7.75,43.25;25.5,155.5;45.25,60.75;56,238;11.5,37.5;35.75,237.5;42.25,76.5;67.75,265.5
2266;7.75,43.25;25.5,155.5;52.75,62;56,238;4.75,45.5;12.5,225.75;47,69.25;53.75,263.5
9992;7.75,43.25;16.75,159.5;52.75,62;59.5,236.75;4.25,45.5;8,243.25;39.5,103.25;42.5,251
1765;5,46.75;16.75,159.5;52.75,62;54.75,238.75;4.25,45.5;32.5,252.75;40,118.5;53.25,233.5
13112;5,46.75;13.5,127.25;38.25,75.5;54.75,238.75;4.25,45.5;22.5,260.5;40.5,122.25;53.25,233.5
3809;5,46.75;20.25,123;28,85.75;54.75,238.75;9,71.75;22,260.75;24,127;53.25,233.5
7904;4,47.75;19.75,127.25;28,85.75;42,253.75;10,86.75;34.25,251.75;41.5,108.5;53.25,233.5
723;20.25,54.75;21,122.25;27.25,104.5;41.5,261.5;10,86.75;29.75,253.75;41.5,108.5;53.25,233.5
6177;20.25,54.75;21,151.75;30,124;41.5,261.5;10.75,87.5;15.5,260.25;42.25,81;70.25,221
3492;12,75.5;18.25,122;21,151.75;21.5,245.5;10.75,87.5;22,250.5;33.25,98.75;70.25,221
9597;11,89.25;11.5,154.25;18.25,122;21.5,245.5;10.75,87.5;38.25,227.75;41.75,90;56.5,218.5
11889;8.75,106.5;11.5,154.25;18.25,122;41,253.25;10.75,87.5;33,251.25;53.75,72.75;72,222.5
12580;10.25,107;11.5,154.25;18.25,122;61.5,238.25;17.75,80.25;24.5,250.75;53.75,72.75;56.5,235.5
6621;10.25,107;11.5,152.25;18.25,122;55.75,267;17.75,80.25;19.75,228.75;42.75,59;47,224
5674;11,115.75;32.5,146;35.25,126.75;59.25,257.75;17.75,80.25;19.75,228.75;47,35;47,224
12766;11,115.75;30.5,137.75;39,110;51.5,247.75;17.75,80.25;18.75,228.75;36,37;47,224
2007;20.5,123;45.75,149.5;49,105.5;51.5,247.75;17.75,80.25;18.25,228.75;22.5,52.5;41.5,244.25
6841;8,124;37,169.25;47.75,106.5;51.5,247.75;17.75,80.25;30.25,252.25;37.25,37;42.5,251.75
7821;8,124;31.25,180.5;38.75,113.25;52.75,249.5;4.75,77.75;30.25,252.25;37.5,22.25;49.5,243.25
11112;8,124;28.75,180.5;38.75,113.25;50.5,270;4.75,77.75;39.75,242.5;42.5,7.25;66.5,226.5
5342;8,124;26.5,157;38.25,126.25;44.75,247.75;4.25,77;22.75,251.5;40,32.75;66.5,226.5
9677;9.5,125.25;41.5,149.25;56.25,139;64.75,262.75;4.25,77;22.75,251.5;64.25,34.75;72.5,239.25
12856;8.25,126.25;32.25,145.5;56.25,139;61,269.5;4.25,77;39,272.25;68,54.75;72.5,239.25
4530;26.75,122.25;31,145;60.25,149.25;62.25,268;25,75;39,272.25;51.25,73.75;72.5,239.25
6076;28,126.75;31,145;59.75,145.75;63.25,268.25;19.5,79.5;34.25,254;47.5,81.75;72.5,239.25
3106;3.25,118.25;18.5,161.5;59.75,145.75;63.5,268.75;25.25,58;40.5,251;48.5,105.25;72.5,239.25
13063;1.5,126;18.5,161.5;59.75,156;63.25,268.25;25.25,58;25.25,255.5;43.5,108.5;73.75,237.5
1158;1.5,126;31.25,152;59.75,156;63.25,268.25;17.75,43;41.75,233.5;53.75,79.75;61.75,221
12038;1.5,126;26.75,144.5;55.25,147.75;63.25,268.25;28.5,58.5;33.25,222.75;53.75,79.75;72.75,230.5
6888;8,124.75;27,125.5;38.25,144.25;63.25,268.25;25.5,51;28,217;53.75,79.75;70,230
10786;7.75,99.75;19.5,123.25;51.25,157.5;63.25,268.25;6.25,52.5;25.25,215.75;53.75,79.75;70,230
6013;34.25,90.25;49.5,126;60.75,130;61,268.25;6.25,52.5;16.5,196;42.75,60.75;70,230
11431;32.5,90.5;49.5,126;60.75,130;63.75,263.5;22.25,38;27,185;67.25,52.5;70,230
5332;23.5,66;55.25,120;55.25,149.25;63.75,263.5;1.75,23.75;27.5,184.75;64,47.5;70,230
12507;23.5,66;38.5,112.5;60,155;63.5,262.25;16.5,11.5;27.5,184.75;54.5,24;60.75,243.5
3159;22,78.75;24.75,127.25;60.5,144;63.5,262.25;18,10.25;22,190.25;54.25,24.75;60.75,243.5
3297;22,78.75;40.25,140.25;49.25,150;57.5,268.25;18,10.25;31.75,210.75;67.5,13;73.75,226
5574;18.75,83.5;27.25,162;40.25,140.25;47.25,256.75;14.5,20.75;21.25,197.75;46.75,19;73.75,226
273;10,79;10.25,153;45.25,145;55.5,238;14.5,20.75;21.25,197.75;63.75,44;69.75,228.75
9903;9.5,78.75;33.25,144;46.5,126.5;55.5,238;30.5,3;33.75,206.25;64.75,46;69.75,228.75
5492;22,102;28.5,125.75;32.75,146.25;55.5,238;30.5,3;34,214.75;53,45.25;56.5,228.5
71;24.5,124.75;35.5,139.75;46.75,164.5;60.25,238;30.5,3;34,214.75;53.25,36.5;69.5,223.5
11042;42.75,146;47.25,118.25;58,177.75;58.25,257.75;14.5,17.5;34,214.75;58.25,37.75;69.5,223.5
