begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
1664;0.25,44.25;5.5,312.25;16.75,44.5;28.25,345;0.25,44.25;3.25,298.25;17.5,2;24.75,364
7174;1.25,71.75;5.5,312.25;15.75,44.25;53.25,363.25;0.25,44.25;13,276.25;18.75,10.75;46.5,372.75
7045;1.25,72.25;6.75,311.5;15.75,44.25;41.25,347;2.5,14;13,276.25;34,22.75;62.75,345.25
14133;1.25,73.25;6.75,311.5;7.75,47.5;27.25,347.25;3,22;33.25,289.5;34,22.75;60.5,360
7319;1.25,73.25;16,314.25;20.5,57.5;53.5,352.5;17,11.5;33.25,289.5;33.5,48.5;60.5,360
6337;1.25,73.25;16.5,309.75;24.25,66.75;53,353;18.75,32.25;37.75,298.25;46,49.75;60.5,360
5609;1.25,73.25;11.75,311;43.5,52;53,353;16,11.25;32.75,286.5;39,58.5;60.5,360
14911;1.25,72.25;34,328.75;43.5,52;47.5,348;3,14.5;33.75,290.5;39,58.5;60.25,362.5
1333;1.5,68.25;21.25,305;42,20.5;47.5,348;31.5,4.5;33.75,290.5;39.5,87;60.25,354.75
6622;10,51.25;13.5,333.25;42,20.5;47,348.25;7,10;24.75,258.5;39.5,87;60.5,344.75
12447;9.75,36.25;23.5,311.5;28.25,49.75;47,348.25;1,24;24.75,258.5;38.25,93;60.5,336
14963;9.75,36.25;23.5,311.5;32.5,57;46.5,349;8.5,48;28.75,288;38.25,93;41.5,334.75
15256;9.75,36.25;22.75,305.75;55.25,77.75;69,341.25;8,49;25.5,285.75;28,95.75;41.5,334.75
3709;9.75,36.25;22.75,305.75;27.5,78.5;54,362.25;5.75,57.75;22.5,287;23,59;37,370.25
15516;9.75,36.25;17.25,313.75;41,94.75;53.25,335.75;5.75,57.75;21.75,288;34.25,55.5;63.75,369.75
11441;17.5,17.25;22.75,303.5;34.5,114.5;53.25,335.75;6,51.75;21.25,288.5;34.25,55.5;62,356
2442;22.25,37;22.75,303.5;34.25,115.5;52.75,339.5;6,51.75;26.75,299.25;48.75,50.25;49.75,354.25
2598;21,64.75;32.25,310.5;34,112.75;52.75,339.5;6,51.75;26.75,299.25;47.25,35.25;51.75,353.5
434;10.75,60.25;32.25,310.5;35.25,138.5;52.75,339.5;2.5,23.25;37.25,291;47.25,35.25;66,337
10127;4.25,48;15,312.75;39.5,117;52.75,339.5;1,12;26.25,273.75;33.5,21;66,337
2159;12,46.75;15,312.75;17,138.25;42,340.5;25,7.75;25.75,280.25;41,36.75;66,337
12051;3.5,34;15.5,315.25;17,137.75;26.25,355.5;7.75,8.5;25.75,280.25;46.25,44.25;66,337
13390;10.75,60.75;15.5,315.25;21.75,150.25;42.25,346.5;1.75,3.25;6.75,281;34,51.25;66,337
9275;13.75,84.5;15.5,315.25;20.75,138.75;61.5,327;9.5,15.25;14.25,277.25;34,52;66,337
8114;13.75,84.5;30.5,312.75;34.5,116.25;63.75,335;10.25,3.5;24.5,270.25;25.75,55.5;66,337
16206;17.5,93.25;30.5,312.75;57.5,99.75;63.75,335;2.5,30;24.5,270.25;32.25,57.75;61.75,355
5386;37,78.5;38.5,315.75;57.5,99.75;63.75,335;0.75,28;19,286.75;32.25,57.75;36.75,353.75
77;36.75,52.5;38.5,315.75;54,93;58,359.75;2,6.5;19.5,287.75;21.5,51.5;36.75,353.75
14842;5.25,73.25;21.25,303;41.5,66.75;57.25,361.25;2,6.5;8.25,251.75;21.5,51.5;36.75,353.75
11678;3.25,71.75;21.25,303;23.75,58;41,355.75;6.5,7;13.5,255;21.5,51.5;25.5,329.75
12709;3.25,71.75;21.75,302;37.25,34.5;43,355.75;6.5,7;6.75,229.75;13,46.5;27.75,342
7434;1.25,72.25;25.5,311.25;30.75,15;37.25,367.5;6.5,7;6.75,229.75;18.5,43.5;25.75,310.25
241;1.25,72.25;30.25,306.25;49,51;63.5,353.25;6.5,7;15,199.75;48.25,59;61.75,305.75
10764;1.25,72.25;21.75,305.5;53.5,48.25;63.25,353.75;7.75,4;15,199.75;29.25,54.5;65.5,296.5
10431;1.25,72.25;19.25,287.25;59.75,30.5;63.25,353.75;11,3.25;18,185;29.25,54.5;64.5,281.25
8548;1.25,72.25;40.25,286.25;53.5,36.25;68,339.75;11,3.25;18,185;29.5,52;67.5,267.25
11248;3.25,90;45.5,279.75;48,45.25;70.75,367.5;11,3.25;25,217;57.5,68.5;67.5,267.25
1462;17.25,107.75;40,306.75;60.75,71;70.75,367.5;3,14.25;11,197;55.5,68;67.5,267.25
15159;10.25,121.25;23.5,313.75;60.25,69.25;70.75,367.5;3,14.25;4.5,208;58.5,89.75;66.75,257.25
2759;2.75,106;23.5,313.75;51.75,49.5;70.75,367.5;24.25,2.25;24.5,211.75;61.25,108;63.5,283.25
1419;21.25,113.75;34.25,303.25;41.75,35.75;59.25,354.25;13.5,10;24.5,211.75;48.5,109;63.5,283.25
8747;21.25,113.75;30,303.75;36.75,49.75;44.5,352.5;13.5,10;26.25,206.25;44.75,91;56,304.5
7985;21.5,117.75;30,303.75;40,45.75;49.25,352;13.5,10;28.25,187.75;41,88.75;57.25,293
8193;39.25,128.25;39.5,320.75;45.25,52.5;49.75,352.25;13.5,10;44.5,192;50,97.5;57.25,293
13815;40,127.5;44.25,345.75;45.25,52.5;46.5,353;1.25,11.5;44.75,193;48.75,95;57.25,293
8620;32.25,113;45,344.75;45.25,52.5;46.25,352.5;17.5,8.5;20,201.75;25.25,76.25;57.25,293
9865;32.25,113;50.75,349;57.5,44.75;59.5,357.75;16.75,12.5;19.5,231.75;25.25,76.75;57.25,293
14531;16.25,135;50.75,349;57.5,44.75;69.5,343.5;6,7;11.5,231.75;32.25,56.5;65.75,264.75
6386;23.75,166;30.5,351.5;57.75,62.5;59.25,341.25;6,7;11.5,231.75;13.25,59;65.75,264.75
2556;38,164.5;38.25,333.5;56.75,62;59.25,341.25;7.25,4;11.5,231.75;33,55.5;41,285.75
15447;38,164.5;48.25,304.75;56.25,62.75;59.25,341.25;7.25,4;22.75,232.25;37,75.75;63.25,300.5
6292;33,154.75;37,302.5;55.75,62.75;57.25,345.25;16.5,5.25;21.5,204.75;37,75.75;63.25,300.5
8634;7.5,170;14.75,312;57.5,32.75;57.5,343.75;16.5,5.25;22.75,185;57.5,84.75;63.25,300.5
13723;7.5,168.5;38.75,323.25;57.5,32.75;62.25,351.25;21.25,5.25;51.25,183.75;60.25,79.75;63.25,300.5
5312;7.5,168.5;13.75,312.25;26.75,9.5;62.25,351.25;30.75,5;44,172.5;57,88.25;57.25,303
8661;29.5,158;40.25,294.5;48.5,5.25;62,350.75;9.25,12.5;20.75,145;57,88.25;57.25,303
11921;14,159.5;29.25,310;52.25,5;62,350.75;7,7.5;9.5,163;57,88.25;64,298.25
6872;8.5,134;39.75,283.25;52.25,5;62,350.75;1,11.75;9.5,163;32.75,88;64,298.25
9604;8.5,134;41.25,256.75;52.25,5;62,350.75;10.25,9;25.25,167.75;37.5,90.5;71.75,317.5
54;14.5,122.5;47.5,252.75;52.25,5;62,350.75;25.25,7.5;25.25,167.75;32,77.25;71.75,317.5
11670;22.25,117;41.25,240.5;52.25,5;62,350.75;5.25,30.5;25.75,145;32,77.25;71.75,317.5
10304;33.25,116.75;46.75,239;52.25,5;63.25,339.75;1.5,17.25;27.25,124.75;30.5,79.25;71.75,317.5
5342;32.5,126.25;33.5,253.25;52.25,5;63.25,339.75;1.5,17.25;21.5,151.75;57,69.25;61.5,289.5
2788;14.25,115.75;33.5,253.25;52.25,5;57.75,341.25;21.75,21.5;45,133.25;59,69.75;61.5,289.5
11927;21.5,115.25;33.25,257.25;52.25,5;57.75,341.25;20.5,22;22.5,121.25;43.75,91;61,281.5
14936;21.5,115.25;38.75,255;52.25,5;57.75,341.25;9,50;18.25,133.75;33,95.5;67.5,269.5
12712;36.5,133;38.75,255;52.25,5;65.75,327.25;18.25,55.5;18.25,133.75;32.25,98.75;33.25,274.75
3795;10,166;38.75,255;44.25,5;65.75,327.25;9.5,51.75;25,101.25;26.25,133.75;57,305.25
3812;10,166;17.25,238.5;27.25,17;47.25,343.75;9.5,51.75;25,101.25;25.5,166.75;61.5,282.25
12528;1.75,145;17.25,238.5;21.5,20.25;47.25,343.25;1.75,67.25;22.25,121.75;22.75,191;61.5,282.25
14816;5,143.5;13,247.75;19.25,33.75;47.25,343.25;12.75,56.5;22.25,121.75;22.75,191;34.25,290
15268;14.5,158.5;29.25,255;40.25,62.75;68.75,335;4.5,87.25;22.25,121.75;26.25,182.5;34.25,290
13749;15.75,155.25;33.25,255.75;58.25,71.75;68.75,335;3.5,104;6.75,102.5;27,179.5;34.25,290
13259;8.5,131.75;53.75,255;58.25,71.75;68.75,335;3.5,103;13,91.25;37.25,183;41.5,303.75
15980;8.5,131.75;33.25,255.75;54.25,60.75;57.25,358.25;2.5,103.5;13,91.25;21,192.5;44,325.5
14189;8.5,131.75;41.25,240.5;55.25,43;57.25,358.25;3.5,103;12.75,57;20,222.5;48,316.75
4014;8.5,131.75;41.25,245;55.25,43;57.25,358.25;13,121.25;16.75,55;26.75,230;60.5,299.75
3838;18.25,132.25;23,251.75;48,48.25;57.25,361.25;7,105;16.75,55;39.75,224.25;60.5,299.75
4528;4,125.25;21.5,264.5;48,48.25;58.25,361.25;7,105;21,55.75;32,209.25;71.5,317.25
14895;4,125.25;21.5,264.5;44.25,51.75;58.25,361.25;7.25,105.5;31.25,56.25;39.25,182.5;62.25,300.75
14273;31.25,115.5;40.25,253.75;44.25,51.75;58.25,361.25;7.25,105.5;13,57.75;47,170.5;57.75,270.75
8910;12,124.5;40.25,253.75;44.75,80;58.25,361.25;9.5,105.75;14.5,89.5;47,170.5;57.75,286.25
12313;1.75,130;24.5,256.75;45,80.25;58.25,361.25;9.5,105.75;32.5,96;37.75,148;56.5,272.75
2518;1.75,130;5,270.25;47,97.75;58.25,361.25;13.75,126;39.75,95;44,176.5;56.5,272.75
8021;6.25,117.25;30.5,252.75;57,126;58.25,361.25;17.25,126.25;27.25,96.5;55,146;56.5,272.75
7620;3.25,96;33,253.25;42.75,113.25;58.25,361.25;13.25,127.75;33.5,69.5;55,146;58.25,294
10648;4.75,72.5;22,252.25;42.75,113.25;57.5,347.75;13.5,122.25;33,69.75;55,146;58.25,278.75
14955;5.75,60.25;22,252.25;42.75,113.25;57.5,347.75;9.5,100.25;19.25,67;43,167.75;64.75,292
5197;7.5,35.5;37.5,255.5;42.75,113.25;56,349.25;11,99.25;13.75,56.25;30.25,151.5;64.75,292
14155;6,9.25;30,257.25;43.75,109;45,362;24.75,122.25;28.5,77.75;30.25,151.5;64.75,292
10737;4.75,6.75;22.25,256;26.5,117.25;68,338.25;24.75,122.25;28.5,77.75;30.25,151.5;61.5,283
15024;4.75,6.75;8.75,256.25;39.75,98.75;41.5,324;24.75,122.25;33.5,79.75;41.75,174;56,283.75
8941;4.75,6.75;25.5,253.5;39.5,117.5;41.5,324;26.25,122.25;42.25,57.5;54.25,179;56,283.75
14990;4.75,6.75;11.5,254.5;37.5,120.5;47.25,305.25;14.25,90.75;23,56;54.25,179;56.75,291
12850;4.75,6.75;21.5,255;40.75,149.5;42,305.25;32.75,86.75;34.25,56;54.25,179;56,292
6326;14.5,14;39,253.75;40.75,149.5;50.25,307;26.5,66;34.5,46.75;54.25,179;66.75,268
3839;18,12;32.25,252.25;40.75,149.5;58.5,337.75;26.5,66;55.25,45.25;57,182;64.75,284
6457;4.5,6.75;27,284.25;44,181;58.5,337.75;26.5,94.75;34.5,58;37.5,197;64.75,284
1338;4.5,6.75;23.25,313.25;45,181.75;58.5,337.75;16.25,126.5;22.5,87;48.25,197.5;64.75,281
7307;14,12;37,306.75;45,181.75;58.25,335.25;12.75,125.25;35.25,94.25;48.25,197.5;64.75,281
8320;14,12;20.25,287.25;57.5,169.75;58.25,335.25;21.75,148.75;35.25,94.25;50.75,173;64.5,262.75
5360;14,12;15.25,312;29,189.5;58.25,335.25;13.75,134.75;23,126;29,199.5;39.25,266
6470;13,12;20,334.75;25.25,202.75;62,299.75;3.5,135.25;23,126;29,199.5;67,231.5
5954;13,12;21,297;25.25,202.75;25.75,296.75;1.5,135.25;23.25,147.75;27.75,238.5;50.25,235
10306;6.75,34;22.25,260.75;25.25,202.75;63.5,304.75;3.5,135.25;24.25,142;28.25,231.75;50.25,235
2129;14,14.5;22.25,260.75;23.25,164.5;66.25,327;8.5,101;24.25,142;31.25,254;67.5,232.25
10551;14,14.5;22.25,260.75;54,161;66.25,327;29.5,124.25;31.75,167.75;33,264.5;62.25,193
14371;6.5,34;22.25,260.75;59,138.25;66.25,327;41.5,133.75;48.25,145.25;60.75,280;67.75,195.5
12158;6.5,34;13.25,265.75;58.5,138.25;66.25,327;38,117.5;48.75,145;66,264;66.25,182.5
13415;6.5,34;29.5,252.25;63.5,107.25;66.25,327;21.75,139.5;23.75,161.25;33.75,266;67,207
2646;8,45.25;45.25,238.25;48.75,117.5;63,306.75;23,127.75;23.75,161.25;33.75,266;50.5,199.25
16245;21.25,72.75;29,270.25;60.25,143.25;63,306.75;23,127.75;27,159.75;45.25,264.5;50.5,199.25
