begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
1543;0.25,44.25;3.75,314;19.5,13.5;65.75,326.5;0.25,44.25;3,370;8.25,7.5;47.75,311.5
10130;0.25,44.25;7.25,295.5;38.5,5.75;38.75,358;0.25,44.25;3,370;8.5,9.5;47.75,311.5
6949;22.75,48.25;33.75,315.25;38.5,5.75;47.25,354.25;0.25,44.25;3,370;22.25,20.25;60.75,296.5
2990;23.25,48.5;33.75,315.25;38.5,5.75;65.75,342.5;13.25,64.25;18.5,342;20.75,20.25;53.5,316.75
6906;29.75,29.75;38.75,313;50.25,5.5;65.75,342.5;13.25,64.25;40.75,330.25;48.75,35.75;53.75,317
4155;29.25,26.5;38.75,312.25;61.5,32;65.75,342.5;7.25,64.75;29.75,355.75;48.75,35.75;63.25,339.25
1338;4.75,9.75;24.75,312.75;60.75,23.5;65.75,342.5;15.75,37;29.75,355.75;56.75,32.75;57.25,339.25
7885;25.75,17.5;28.5,312.25;31.75,15;64.5,336.75;15.75,37;22.5,370.5;53.75,48;57.25,339.25
2701;25.75,17.5;28.5,312.25;31.75,15;43.75,345.75;1,22;4.75,371.75;44.75,43.25;61,346.75
11091;25.75,17.5;31,303.75;31.75,15;43.75,345.75;1,22;21,366;21.5,50;63.75,346
10195;25.75,17.5;31,303.75;39.5,5.25;57.75,335.25;1,22;10.5,371.75;18,51;42,324.5
10153;25.75,17.5;30.25,270;39.5,5.25;42,343;5.75,10.25;16,354;17.25,49.5;67,338.25
10808;25.75,17.5;30,255;39.75,9;69.25,305.25;6.75,12.5;11.25,358;17.25,49.5;65,352
10309;25.75,17.5;30,255;44.25,17;69.25,305.25;12.75,50.5;14.5,368.25;32.25,57.5;42,360.25
10173;16.75,40.5;31.5,252;44.25,17;69.25,305.25;4,87.5;24,357;32.25,57.5;64.75,353.25
11005;16.75,40.5;21.5,255;44.25,17;69.25,305.25;22.25,96.25;24,357;46.5,43.75;63.5,346
8412;13.75,48.5;20.75,268;38,17;69.25,305.25;14.25,59.5;24,360;32.25,48;63.5,346
540;29.25,28.25;35.5,270.5;44.75,49.5;65.25,304.25;9.75,47;31.5,327.75;32.25,48;63.5,346
9959;2,10.75;25.75,257;44.75,49.5;70.75,304.25;9.75,47;45.75,299.25;55.25,48;63.5,346
4824;1.25,10.75;9.75,246.75;47.25,36.5;70.75,304.25;6.5,43.25;31.25,281;33.25,54.25;63.5,346
11144;1.25,10.75;9.75,246.75;55,26.25;70.75,304.25;5.5,50.5;38.5,265.5;46.25,44.25;63.5,346
9941;1.25,10.75;2,247.75;47.5,14;70.75,304.25;5.5,50.5;37.25,266.25;51.25,57.25;62.5,347
6000;5.25,36.25;16,216.25;20.5,18.25;70.75,304.25;13.5,56.5;20.25,234.5;33.5,75.75;62.5,347
11137;12.5,16.5;13.75,217.5;46,4.75;70.75,304.25;13.25,48.5;39.25,256;55,79.75;62.5,347
140;12.25,35.75;14.5,217.5;34,30.5;52.5,292.25;2.75,37.25;33.75,285.5;55,79.75;62.5,347
558;22.5,33.75;34.5,216.25;35.5,27;52.5,292.25;3.5,37.75;33.75,285.5;52.25,111.25;63,347.5
10866;16.75,22.25;26,186.25;35.5,27;37.5,313.75;2,18;35.5,258;41.75,90;63,347.5
10095;16.75,22.25;26,186.25;34.5,27;37.5,303.75;8.5,9;25.75,238;41.75,90;62,347.25
10041;6.25,34;26,186.25;34,26.5;37.5,303.75;2.5,22.5;41.75,235;42,115.5;62,346
6845;6.25,8.25;26,186.25;34,26.5;59.75,303.25;2.5,22.5;5.5,233;39,113.25;63.5,309.75
7555;6.25,8.25;34.75,180.5;38.5,33.75;59.75,303.25;4.25,50;18,233;50.5,108;57.25,276.25
10719;6.25,8.25;34.75,180.5;55.25,26.25;59.75,303.25;5,56.25;47.5,232.75;51.5,125;57.25,276.25
10154;6.25,8.25;38.5,159;43.25,52.75;59.75,303.25;24.5,58;47.5,232.75;47.75,142;56,275.5
8741;6.25,8.25;10.75,132.25;15.75,51.25;22.75,306.25;38,77.75;39,202;47.75,142;56,275.5
169;6.25,8.25;24.75,115.25;28.75,51;28.75,303;38,77.75;42,225.5;51.75,120.25;62.5,296
6210;13.5,16.75;14.75,131.75;27,78;28.75,303;32.5,86.5;54.5,232.75;59.5,121.5;62.5,296
6070;11.75,44.5;13,166;27.25,71.25;45,278.75;32.5,86.5;40,265;59.5,121.5;64.5,288.75
1923;4.25,66;13,166;39.25,49.5;45.25,272.25;25.75,88.5;56.25,272.5;61.25,121.5;64.5,288.75
10783;4.25,66;13,166;39.25,49.5;46.25,272.5;8.25,64;42.25,299.5;55.5,140.75;65,299.75
10266;4.25,66;35,181.5;37.5,38;46.25,272.5;6,55.25;46.75,317;55.5,140.75;65,299.75
10101;5.25,66.75;26.75,181.5;37.5,38;47.5,292.5;32.5,44.25;34.25,299.5;55.5,140.75;65,299.75
1404;15,94.25;35.5,156.75;37.5,38;48,293;13.25,57.25;20.25,327.25;60.25,145.5;65,299.75
9355;1,61.25;34.5,157.5;46.5,14.75;48.25,267.75;13.25,57.25;20.25,327.25;33.75,166.25;65.25,309.25
750;6.25,59.75;14.25,187.25;36.25,6;60.5,300.75;17,57.75;20.25,327.25;20.5,192;65.25,309.25
8892;10.75,64.25;14.25,186.25;36.25,6;39.25,303.25;25.25,50.25;29.25,342;30.75,209.5;65.25,309.25
8977;10.75,64.25;14,184.75;36.25,6;57.25,302.25;32.5,80;38.75,347.5;62.5,213.5;65,282
588;14,76.25;20,204.5;36.25,6;64.5,292.25;0.5,79.5;38.75,347.5;39.25,237.25;62.5,280.5
6769;12.75,76.25;16.25,201.5;36.25,6;64,269.25;23.75,48.25;33.75,338.25;39.75,200.5;62.5,280.5
2711;4.25,64.5;11.75,165;32,9;64,269.25;23.75,48.25;24.5,371.5;38.25,202;56.75,288.25
7347;4.25,64.5;9,157;24.25,28.25;63,299.75;3,16.5;21,354;37.5,201.25;56.75,288.25
3487;3.75,64.75;13.5,145.25;39.25,46.75;42.25,307;11,3.25;21,354;37.5,201.25;56.75,288.25
10838;7.25,46.5;26.5,170.25;39.25,46.75;42.25,307;16.5,11;21,354;43,171.5;43,275.25
4937;6.75,46.5;14.25,131.75;40,45.75;67.25,325.5;16.5,11;26.25,324.75;43,171.5;57.75,288.75
