begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
2325;0.25,44.25;8.75,309.75;11,34.75;69,343.75;0.25,44.25;3,372.5;34.5,76.5;63.75,299.5
5659;0.25,44.25;32.75,302;37.5,50.75;69,343.75;0.25,44.25;3,372.5;34.5,54;65.25,306.75
6218;21.5,12;32.75,302;57.25,57.25;69,343.75;0.25,44.25;3,370;22.5,50.5;58.25,277.75
2213;42.25,6;50.5,269.75;59.5,19.25;69,343.75;1,43.25;4.75,372.25;22.5,50.5;58.25,288.5
147;21,13.5;37.25,233.75;56,32.5;69,343.75;3,15.25;3,372.5;42,59.75;58.25,288.5
2942;20,58.25;22,253.75;22.5,12;59.25,336.25;2,14.75;16,336;42,59.75;58.25,288.5
5639;21,58.5;21,253.5;22.5,12;59.25,336.25;2,14.75;10.75,364.25;31,48.75;60.5,309.75
4509;22.5,12;22.5,247.75;53.5,45.25;59.25,336.25;8.5,8.5;11.75,364;22,54.5;56.75,280
6174;5.5,7.25;18,260.75;43,80;59.25,336.25;8.5,8.5;42.75,360.25;47.25,58;56.75,280
3230;1.75,36;28.5,282;64.25,108.75;65.75,326.75;9.75,10;20.5,359.75;47.25,58;56.75,280
6009;1.75,36;21.25,301.5;64.25,108.75;65.75,326.75;21.25,4.75;24,360;45.75,28.75;62.25,284.5
3774;1.75,36;33.25,302.75;47,128.25;52.5,353.25;15.25,2;24,360;33.75,55;56.75,277
2454;6,52.5;33.25,302.75;41.5,104.75;69.5,340.25;26.75,3.75;31.25,327.75;33.75,55;54,277.25
2935;5.5,51;12.5,312.75;44.75,78.5;69.5,340.25;30.5,2.75;31.25,327.75;46.25,32.25;57.25,284.25
5036;18.75,65.25;19.75,280.75;38.5,116;48.25,301.5;30.5,2.75;37.25,324.75;46.25,32.25;65,281.25
426;18.75,65.25;22.25,255.25;29.5,114.75;68.5,340.75;22.75,10.25;28.5,370.25;64,33.75;65,281.25
2849;18.75,65.25;29.5,216;65.75,104.25;68.5,340.75;7.75,50.5;20.5,355.25;22.5,49;25.75,276.75
4452;2.25,52.25;22.25,189.75;43,80;69.5,340.25;7.75,50.5;17.75,321.5;22.5,49;25.75,276.75
5631;16.25,34.5;32.25,181;49.5,80;69.5,340.25;5.5,48.25;17.75,321.5;24,57.5;25.25,280.75
1919;9,84.5;40,180.5;47.5,80;69.5,340.25;2.75,99.5;17.75,321.5;25.25,82.5;25.75,280.25
3138;25,117.75;40,180.5;43.25,84;59.25,338.25;10.75,133.75;17.75,321.5;25,81.25;60.5,283.75
4287;12.5,121.5;26,186.25;33.75,116.75;59.25,338.25;10.75,133.75;24.25,324.5;25,81.25;66.25,259.25
2943;17,93.75;26.75,187;31.25,115;58.25,335.25;10.75,133.75;24.25,324.5;40.25,98;44.5,231.25
6200;6.5,61;29,167.25;31.25,115;57.25,335.25;16.75,120.75;24.25,299;40.25,98;44.5,231.25
