begin;0,0;0,274.5;173,0;173,274.5;0,0;0,274.5;173,0;173,274.5
5659;0.25,88.25;34.25,245;127,90.75;145.5,248.5;0.25,88.25;52.25,251.5;119.25,50;126,241.5
11191;0.25,88.25;19,215;113.75,53.5;160.75,225.25;0.25,89;50.5,252.25;119.25,50;125.25,203.5
4073;0.25,88.25;12.75,243;114.25,53.25;160.75,225.25;0.25,89;74.75,245.75;95.5,40.5;106,180.5
11982;0.25,88.25;12.75,243;113.25,52;159.5,245;24.5,94.5;99,255.75;104,23.25;106,180.5
8648;0.25,88.25;12.75,243;149,47.5;160.75,247.25;57.25,82;87.5,245.5;104.5,57.25;111.75,162
7713;0.25,88.25;15.5,245;126,64.25;160.5,246.75;56,120;92.75,221.25;104.5,57.25;114.75,163.5
6811;2,109.25;8.5,269.75;120,52.75;160.5,246.75;36,120.25;92.75,221.25;104.5,57.25;148.75,183.5
10299;2,109.25;8.5,269.75;92.5,51.75;160.5,246.75;36,120.25;82.5,241.75;133.25,42.5;167.5,143.25
7331;6.5,109.25;8.5,269.75;81.25,60.25;160.75,247.25;54.5,119.5;99.25,259.5;132.25,12.75;167.5,143.25
2504;6.5,109.25;8.5,269.75;90.75,58.25;160.5,246.75;82.25,93.75;87.75,269.25;107.5,39.5;143.25,142.5
2097;6,140.75;8.5,269.75;105,51.75;161,245.75;84,97.25;111.75,260.25;135.5,13.5;143.25,142.5
4415;38.5,170.5;44,271;119.25,23.25;162.25,245;69.75,81.75;111.75,260.25;135.5,13.5;138,125.5
10988;30,189;44.5,271;97.25,23.5;163.75,231.25;69.75,81.75;129.75,266.5;135.5,15.25;138,125.5
10055;30,189;46,236.25;64,47.5;136.25,206.5;66.75,110.25;129,268;131.25,12.75;138,125.5
11222;31.25,182.25;39.25,228.25;80.25,50.75;136.25,206.5;97,101.25;129,268;131.25,12.75;146,153.25
11999;24.75,209.5;48.5,211.25;80.25,50.75;136.25,206.5;92,109.25;129.75,268;131.25,12.75;143,183
10148;19,185.75;48.5,211.25;108.5,72.75;137.25,222.25;77,86.25;129,268;131.25,12.75;143,183
4480;40,170;57.5,188.5;135.25,100.25;137.5,222.75;76,87.25;99.5,272;131.25,12.75;143,183
2373;61.75,162.5;75.5,181.25;119.5,126.5;137.5,222.75;76,87.25;99.5,272;122.75,2.5;140.75,193
8945;61.75,162.5;65,181;104.5,142.5;136.75,222;51.5,76.75;99.5,272;112.25,11.75;127.75,223.75
7949;61.75,162.5;65,181;104.5,142.5;136.75,222;71.75,95.25;82,256.75;122.75,11.75;148.25,228.25
11920;65,181;68.75,156.5;114.75,141.75;138.25,222.75;60,119;82,256.75;121,14.5;148.25,228.25
5727;37.25,190.5;68.75,156.5;114.75,141.75;138.25,222.75;94.25,120.75;102.75,229.25;128.75,36.75;144,219.5
12061;37.25,190.5;61.5,151.25;114.25,142.25;138.25,222;91,125.5;118.5,214;140.25,56;144,219.5
10703;45.5,189.25;55.75,154.25;118.25,154.25;137.5,222.75;90.25,144.5;118.5,214;130,44.75;144,219.5
11410;44.5,191;81,155.75;91.25,151.75;167.5,226.25;90.25,144.5;116.5,216.5;123,33.25;144,219.5
7886;44.5,191;52.25,143.75;58.75,144.25;168,226.5;90.25,144.5;101,230;102.5,12.5;144,219.5
11612;44.5,191;52.25,143.75;63.75,103.5;168,226.5;78.5,173;93.5,195.25;94.75,48.5;144,219.5
6945;44.5,191;73,125.25;84.75,128.75;168,226.5;77.25,187.75;93.5,213.75;94.75,48.5;125.25,229.5
1472;44.5,191;51,137.75;102,112.75;147,230;77.25,187.75;112.25,217.5;125.5,57;125.75,214.75
10756;44.25,191.5;46,129.75;95.25,91.75;137,222.5;67.5,184.75;112.25,217.5;125.5,57;126.25,214.25
10564;21.75,173.25;46.25,130.25;63.25,80.75;137.5,222.75;80.25,174.25;112.25,217.5;125.5,57;127.5,190
4019;21.75,173.25;43.75,131.5;63.25,80.75;136.75,222;67.5,211.25;103,241.5;129.75,84.75;143,216.5
2906;18,176.5;43.75,131.5;45.5,65;136,222.75;67.5,211.25;86.75,246.25;120.25,76.75;138,216
4651;47,188.25;52,114.5;65.75,33.5;136,222.75;67.5,211.25;92.75,246.75;122,78.5;138,216
10103;47,188.25;49.25,100.25;91.75,30.75;136,222.75;67.5,211.25;82.25,270.25;104.25,66;116.25,215.25
7905;46.5,188.75;55.25,121.5;91.75,30.75;129.25,207.5;67.5,211.25;76,264;98.5,43;111.75,218
1173;58.5,180.75;69.5,153.25;91.75,30.75;129.25,207.5;67.5,207.75;76,256.75;79.5,37.25;123.5,187.5
11482;44,172.5;63.25,163;113.25,42;129.25,207.5;67.5,207.75;77,256.25;79.5,37.25;123,188
11513;58,206;67.25,167.5;113.25,42;152.25,183;74.5,177.5;77,256.25;103.5,22.5;123,188
7718;58,210.75;67.25,167.5;113.25,42;152.25,183;54.5,154.25;79.25,270.75;112.75,36.75;155.75,200.25
7257;28.5,225.75;90,155.25;119.75,42;152.25,183;57,119;79.25,270.75;100.5,22.5;155.25,201.25
9610;28,225.25;102.25,141;126.5,27.25;152.25,183;53.5,112.5;97.75,265.75;100.5,22.5;155.25,201.25
12037;31.5,208;70.5,134.25;126.5,27.25;148.75,180.5;29.5,108.75;94,265.75;100.5,22.5;154.5,170.5
6083;32.5,207.75;51.5,145.5;126.5,27.25;159,153.5;39.5,109.75;94,265.75;100.5,22.5;143.75,141.25
10748;32.5,207.75;57.5,172.75;112.25,34;139.25,138.75;28.5,105.75;94,265.75;100.5,22.5;143.75,141.25
891;19.25,184.75;71.75,151.25;136.25,54.25;137.5,136.75;28.5,105.75;95,264;100.5,22.5;146.5,131
7610;11,160;58,165;154,73.25;163,137.5;39.25,122.5;78.75,269.5;100.5,22.5;146.5,131
5807;24.25,176.25;49,189.25;154.25,70;163,137.5;60.25,108;73,245.5;101.5,14.5;146.5,131
11735;26.5,199.75;49.5,189.5;154.25,70;163,137.5;73,86.25;73,245.5;101.5,14.5;122.5,119.5
3194;16.75,232.75;52.5,191.5;120.75,75.5;127.5,142.25;42.25,75.25;73,245.5;101.5,13.75;122.5,119.5
11593;3,259;52.5,191.5;120.75,75.5;129,159.75;42.25,75.25;62,239.75;101.5,13.75;131.25,85.25
12378;3,259;52.5,191.5;120.75,75.5;138.5,139.75;29.75,76;65.5,225.5;101.5,13.75;109,78.75
8340;18,244.25;62.5,195;91.25,83.5;155.5,137.75;29.25,75.75;39,215.25;101.5,13.75;109,78.75
4636;17.75,245.25;66.5,204.5;97.75,74.25;155.5,137.75;29.25,85.5;34,231.25;102.25,34.25;109,78.75
4454;10.5,233;79.25,212;85,51.75;155.5,137.75;1.75,73.5;29.75,234.25;102.25,34.25;108.25,81.75
6487;2.25,210.75;82.25,243.5;85,51.75;155.5,137.75;2.75,72.25;8.5,225.25;97.25,20.75;108.25,81.75
11906;4.25,216.75;82.25,243.5;93.25,59.75;155.5,137.75;2.75,72.25;6.5,219.75;97.25,20.75;101,90.75
7200;10.5,252.25;82.25,243.5;101.75,79;155.75,140.75;1.25,72.5;6.5,219.75;74,45.25;102.75,91.5
4875;9.5,269.75;82.75,268.75;123.75,61;137.5,132.25;1.25,72.5;6.5,219.75;70,49.5;102.75,91.5
46;9.5,269.75;68.5,241;102.5,81;113.5,146.25;1.25,72.5;6.5,219.75;76.25,76;102.75,91.5
6587;9.5,269.75;68.5,241;89,87.75;109.5,140.75;1.25,72.5;5.5,222.75;82.5,105;129.75,73.75
5799;17.25,268;71.25,254.5;89,87.75;109.5,140.75;1.25,72.5;5.5,225.75;82.5,102;144.25,85.5
10434;16.25,232.5;68.25,256.75;73,50.5;121.25,125.25;1.25,72.5;5.5,225.75;82.5,102;157.5,86.75
1041;6.75,210.75;53.25,226.75;73,50.5;118.25,141;1.25,72.5;10.75,224.75;69,113;157.5,86.75
6462;32,191.5;63.25,239.75;73.5,52.5;130.5,160.25;9.5,86.25;10.75,224.75;80.5,140.25;157.5,86.75
2690;46.5,187.25;61,240.25;76.5,27.25;130.25,142.25;9.5,86.25;33,223.5;79.75,140.5;157.5,86.75
10321;35.75,192;45.75,254;76.5,27.25;145,161;15,79.75;30.25,226.25;79.75,140.5;157.5,86.75
6448;35.75,192;45.75,254;73.25,55.5;143.75,142.25;14.5,80;42.5,214.75;54.25,158;142,77.25
6627;35.75,192;43.5,257.5;70.5,66.75;146.75,138.75;1.5,66.75;42,218.75;67.5,175.75;142,77.25
11004;35.75,192;60,262.75;83.25,48.25;121.25,146.25;1,66.25;42,218.75;90.25,196.75;121.25,75
11045;29.5,177;71.75,235.25;85.5,74;121.25,146.25;1,66.25;42,218.75;90.25,196.75;132,56.75
6477;24.5,165.75;48.25,245;85.5,74;90.5,156.75;1,65.75;48.75,245;70,223.25;132,56.75
2728;24.5,165.75;48.25,245.5;85.5,71.5;96.5,166.75;28.5,55.75;47.25,274.5;70,223.25;133,53.75
11648;6.75,140.25;80,245.75;85.5,71.5;96.5,166.75;45.25,43.5;48,242.25;55.75,223;104.25,63.75
2112;8.25,139.75;80,245.75;85.5,71.5;123.25,173.75;25,42.5;47.5,242.25;51.25,226.25;82.5,47.5
7600;8.25,139.75;80,245.75;85.5,71.5;117.75,151.5;21.5,33.75;29.75,252;42.25,223.25;60,47.75
10467;8.25,139.75;80,245.75;87.25,73.75;127.25,126.25;16.5,19.75;29.75,252;60,244.75;63.25,72.75
1761;8.25,139.75;51.75,225.25;88,54.5;105.5,143.25;18.25,43.75;29.75,252;58.75,223.5;75.75,82.75
7306;8.25,139.75;62.25,236;66,34.75;86,128.25;18.25,43.75;28,254.5;53.5,215;75.75,82.75
9456;38.75,118.5;60.25,240.25;64.5,29.75;94.75,111.25;18.25,43.75;28.5,235.5;47,234.75;75.75,82.75
4083;5.75,89.5;42,245.25;68.25,5.5;95.25,111.25;8,14.5;28.5,235.5;47,234.75;57.75,80.75
5699;5.75,89.5;60.75,254.5;92,40.5;98,133.25;7,14.75;21.5,204;45.75,260.75;57.75,80.75
512;14.5,69.75;70.75,254.5;96.75,24.75;98,133.25;1.75,22;21,168.75;45.75,260.75;58.25,46.5
236;13.75,39.25;56,252.75;79.25,57.25;104,144.75;2.25,23.25;21,168.75;45.75,260.75;96.25,39.5
10430;13.75,39.25;63.75,235.5;88.5,83.75;127.75,171.75;2.25,23.25;21,179.75;45.75,260.75;114.5,26.75
3689;13.75,39.25;85,219;94.25,115.75;123,140.75;1,24.75;21,179.75;43.75,255.25;102.25,39.5
11103;29.5,21.75;64,199;90.5,140.25;123,140.75;2,8.5;21,179.75;56,235;102.5,41.75
8779;36.25,43.5;45,198;90,140.75;108.5,126.5;2,8.5;20.5,165;56,235;102.5,41.75
13;36.25,43.5;36.25,174;90,140.75;128.25,131.75;2,8.5;22,171.25;51,220.5;102.5,41.75
2787;25,76;53.5,173.25;90,140.75;122.5,101.5;1.5,37;22,171.25;54.25,225;102.5,41.75
4927;31,41;45.25,193;90,140.75;108.25,90.75;8,67;15.5,179;54.25,225;102.5,41.75
2426;31,41;46,193.75;70.25,107;112.5,57.5;11,68.75;14.75,173.75;54.25,225;91,26
6591;7,56.25;20,196.75;57.75,96.75;112.5,57;11,68.75;14.75,173.75;85.5,217.25;105,53
2853;7,56.25;38.5,220.25;43,126;92,77.75;15,91.25;19.5,168.75;85.5,217.25;104.5,52.75
10962;30,72;38.5,220.75;43,126;116.5,69.25;50.75,101;53.75,158.25;85.5,217.25;104.5,52.75
10192;30,72;36.5,199.5;43.5,125;116.5,69.25;26.25,106.75;53.75,158.25;79,240.5;81.5,63.25
9602;49.25,100.5;56.5,190;63.5,125.75;83,53.75;26.25,106.75;53.75,158.25;80,256.25;85.5,59.75
11674;47.5,102;59.5,192.5;63.5,125.75;99.25,87;4.75,128.5;34,186.25;80,256.25;85,59.75
12319;47.5,102;59.5,192.5;69.75,125.75;118.5,101;4.75,136.75;34,186.25;83.25,228.75;85,59.75
9559;39.5,134.5;59.5,192.5;70,106.75;148.5,124.5;4.25,136.75;34.5,185.5;83.25,228.75;100.5,48
10588;39.75,135.5;59.5,192.5;70,106.75;135.75,149.75;10,117.75;38,215.25;63.75,253.75;100.5,48
6821;39.75,135.5;77.75,191.5;85.5,131;135.75,149.75;22.5,97.5;24.5,231.25;63.75,253.75;100,52.75
9708;34.5,108.75;56.5,169.75;85.75,149.75;147.5,135.25;22.5,97.5;24.5,231.25;63.75,253.75;100,52.75
110;34.5,108.75;56.5,170.75;69.25,153.75;151.5,138.5;20.75,98;27,223.5;63.75,253.75;100,52.75
9490;34.5,108.75;49,147;91,172.25;159.5,139.25;9,67;11.25,231.75;67,240.25;100,52.75
1369;44.5,134.5;71.75,160;82,197;159.5,139.75;0.25,81;11.25,231.75;67,240.25;77.5,38.25
8128;44.5,134.5;48.25,172.25;82,196.5;145.5,173.5;0.25,81;18,239.75;90.25,268.75;104,49
8905;53.25,148.75;59,204;81.5,181;144.75,138.75;0.25,81;29.5,241.5;90.25,268.75;96.75,20.75
10230;36.25,144;61.75,233.5;62.5,179.5;119.5,119.25;0.25,81;29.5,241.5;90.25,268.75;120,32.25
6523;36.25,144;59.75,205.25;67,189.25;119.5,119.25;1,81.5;20,263.5;103,270;116,52.5
350;9.5,142.25;48,180.5;103.25,183.25;119.5,119.25;1,81.5;28,251.75;105.75,260.75;116,52.5
12141;1,159.25;48,180.5;103.25,183.25;112,136.5;1,81.5;27.75,245.5;95.5,251;115.75,52.75
4806;1,159.25;69.5,157.75;103,182.75;106.5,145;15,74;27.75,245.5;102.5,227.75;115.75,52.75
4370;3.75,152.5;72.75,125.5;87.75,166.75;116.5,126;15,74;20.5,263;102.5,227.75;106.25,53.25
3722;18.25,172.75;77.5,124.75;81,166.25;116.5,126;10.5,86;21.25,263.5;102.5,227.75;118,46.75
724;19.5,138.75;70.25,96.25;81,166.25;134.25,133.25;10.5,86;31.5,242.5;118.5,214;119.25,45.75
3893;41.75,119.75;82.75,84.5;106.25,142.75;126,162.75;7.25,118.25;31.5,242.5;102.75,223.25;119.25,45.75
3532;41.75,119.75;88,51.5;105.25,144.75;122.75,142.25;7.25,118.25;40,233.75;87.75,224;120.25,46
10934;42.25,121.75;75.75,57.25;105.25,144.75;144.5,171;6,119.5;42.5,213.75;87.75,224;97.5,33.5
6897;25,148.5;49.25,57.25;70.75,145.25;143.75,182.5;6,119.5;42.5,213.75;87.75,224;116.5,29.5
8552;35.5,122.5;40.75,30.75;70.75,145.25;153.25,151;6,119.5;42.5,213.75;69.25,223;115.75,28.75
5092;36,122.75;40.75,30.75;88.25,157.25;131.25,141.5;6,119.5;14.5,208.75;35.5,233.75;128.75,36.75
6029;36,121.75;55,23.25;88.25,157.25;130.75,144.75;4,137;14,198.5;28.25,244.5;128.75,36.75
7332;44.25,119.5;55,23.25;119.75,173.75;144,141;4,137;42.25,219.75;43.25,242.5;93,41.5
12298;39.5,126.75;58.25,18.5;130.75,174.75;144,141;4,137;42,218.75;62,251.25;78.5,48
6720;39.25,127.25;44.25,42.5;143,208;144,141;4.25,136.75;42,215.5;62,251.25;74.25,83.25
10618;40.75,127.75;51,65;137,181.5;143.5,141;10.5,144;42,215.5;62,251.25;74.25,83.25
5052;40.25,127.75;79.75,80.75;114.5,208.5;142.5,173;10.5,144;10.75,227.25;56.5,214.75;74.25,83.25
11759;21,108.75;84.5,91.5;111.75,218.25;142.5,173;10.25,143.25;10.75,227.25;56.5,214.75;89.25,95.25
1109;8.75,86;93.25,97.75;132.75,222.25;139.75,175;6.25,158.25;10.25,224.25;56.5,214.75;89.25,95.25
11805;43.5,82.5;62,99.75;131.75,243.25;139.75,175;6.25,158.25;13.75,222.75;89.25,219.75;90.5,97.25
3367;33.5,74;35.5,92.5;128.5,245.5;134,190.75;6.25,158.25;13.75,222.75;65,204.75;80,97.25
8008;52.5,112;53.75,57.25;115,265;136,174.5;6.25,158.25;13.75,222.75;61,217.75;81,86.75
6478;52.5,112;57,54;91,251.5;118.25,150.75;2.5,136.25;34,198.75;61,217.75;78.5,95.25
12347;52.5,112;75.5,76;107,269.25;123.75,139.5;3,136.25;56.5,188;61,217.75;82.5,97.25
12130;52.75,79.5;100.25,57.25;114.25,261.5;123.75,139.5;3,136.25;56.5,188;80.75,230.5;82.5,97.25
4227;72.5,63.5;100.25,57.25;101.75,235.5;146.5,142.25;32.25,141;56.5,188;63.5,247;91.5,84.5
2893;72.5,63.5;92,59.75;92.25,240.75;143.5,164.5;32.25,165;35.5,170.25;63.5,247;91,81.75
6879;43.5,64.5;92,59.75;101,269.25;130.5,165.25;32.25,165;55,157.75;90.5,242;91,81.75
12391;43.5,64.5;93.75,91;124.25,254;125.75,145.25;32.25,165;72.25,184;90.5,242;110.25,53
7367;55.25,65.75;92.25,92.75;124.25,254;159.5,139.75;32.25,165;64.5,182;69.5,240.25;82.25,47.75
6138;76,75.25;91.25,83.5;124.25,254;164.25,137.75;39,143;40.75,172.5;67.5,241.5;82.25,47.75
5311;68.75,67;73.25,77.75;124.25,254;164.25,137.75;23.75,118.75;49.5,186.5;67.5,241.5;96.25,45
5256;65.75,67.5;82.5,54.25;105.5,253.75;164.25,137.75;23.75,118.75;50,185.5;67.5,241.5;98.25,41.5
10370;71.5,80;82.5,54.25;138.5,260.75;148.75,128.25;11.25,85.25;50,185.5;67.5,241.5;96.75,21.25
12329;71.25,80.25;81.25,50.25;138.5,260.75;146.25,137;11.25,85.25;50,185.5;50.5,235;121,6.75
