begin;0,0;0,174.5;223.5,0;223.5,174.5;0,0;0,174.5;223.5,0;223.5,174.5
4262;0.25,20.75;4,169.75;182.75,18.25;191.5,125.75;0.25,20.75;37,84.25;182,38;191.75,95.25
4306;0.25,20.75;4,169.75;185.5,13.25;195.75,117;7.5,13.25;37,84.25;183.25,0.75;188,53.75
6447;0.25,20.75;3,170.25;141.5,10;174.75,138.25;0.25,31.5;37,84.25;147,24.5;159.25,23.75
5797;1.5,39.75;15.5,146.5;111.5,20;179.25,156;0.25,31.5;63.5,74.25;147,24.5;159.5,22
113;1.5,39.75;9.25,157.5;95.25,15.75;217.25,157.25;0.25,31.5;98.25,61.75;128.5,17;159.5,21.25
6781;1.5,39.75;10,157;53.5,22;176.5,150.75;0.25,31.5;120.75,68;124.25,31.25;147,43.25
7880;1.5,39.75;6.5,158;49.5,21;150.5,136.5;14,45;120.75,68;146.75,44;181.25,27.25
2523;1.5,39.75;18,133.5;42.25,4;128.25,142.25;16,42.25;120.75,68;146.75,44;181.5,26.5
1450;12.5,7.25;18,133.5;22.75,15;136.25,158.75;16,42.25;112.5,72.5;146.75,44;173.25,45.75
7551;12.5,7.25;17.25,134.5;19.75,18.75;143.5,157.5;16,42.25;112.5,72.5;117.5,19.5;163.25,6
4745;11.5,7.5;23,145.5;36.75,34.5;127.5,170.75;16,42.25;70.75,94;117.5,19.5;163.75,6
6003;11.5,7.5;56.5,137;57.75,12;127.5,170.75;14.25,27.25;53,81.75;117.5,19.5;163.75,6
7241;11.5,7.5;52.75,115.75;57.75,12;96.25,162.5;36.75,16;53,81.75;137.5,36;163.75,6
8361;22.75,18.75;39.75,136.25;57.75,12;80,145;20.25,47.25;84.75,89.25;127.75,71;163.75,6
7828;22.75,18.75;40.25,137.25;57.75,12;90.75,141.75;20.5,31.75;75,107.75;142.5,88;163.75,6
5546;15.75,22.75;40.25,137.25;57.75,12;90,120.5;20.5,31.75;86.75,88.75;113.5,71.75;179.75,12
2187;15.75,22.75;40.25,137.25;57.75,12;63.5,103.75;27,10.75;84.75,100.25;114,71.75;178.5,35.5
6074;10.25,23;51,126;64.25,45.5;65.75,80.25;27,10.75;84.75,100.25;112.25,45.75;180,59.5
4443;20.75,16.5;54,129;64.25,45.5;71.5,84.25;11.5,34.75;81.5,132.75;143,42.25;180,59.5
1575;40.75,29.5;44.5,142.5;49.25,46;73.75,85.5;11.5,34.75;58,149;143,42.75;180,59.5
1285;37.25,15.25;44.5,142.5;53.5,74.25;77.75,55.5;3.25,27.75;85.25,140.25;143,42.75;180,59.5
1156;29.75,14.25;44.5,142.5;54,44.5;98.75,36.75;3.25,27.75;86.25,140.5;144.5,72.5;211.5,52.25
3562;28.5,38.25;44.5,142.5;78.25,71;83.5,44.25;27.25,28.5;97.75,143.75;144.5,72.5;202.25,86.75
5682;28.5,38.25;56,133;62,98.5;100.5,30.5;27.25,28.5;115,170.5;147,103.75;202,86.25
3801;22.25,13.5;53,141.25;61,98.75;100.5,29.75;27.25,28.5;115,170.5;150,103.75;212.75,81.25
6044;29.25,44.25;53,141.25;91,83;130.25,28;22.75,28.5;115.25,161.25;148,110.25;212.75,81.25
