begin;0,0;0,324.25;274,0;274,324.25;0,0;0,324.25;274,0;274,324.25
9280;0.25,13.25;58,291.75;162.25,39.25;251.25,294.25;0.25,13.25;101.25,265.25;195.25,40;263,316.75
15336;22,19.75;80.75,301.5;162.25,39.25;252.25,291.75;18.75,24.5;66.75,272.75;195.25,40;240,281
32169;22,19.75;79.75,303;144,50;252.75,309.5;29.75,20.75;67.5,273;195.25,40;220.25,246.5
33758;22,19.75;90.25,290;122.75,22.75;227.75,305;29.75,20.75;62.25,243.75;170,10.25;220.25,246.5
28598;17.5,21;105,268.25;124,22.75;228.75,305;30.25,23;62.25,243.75;170,10.25;219.75,215.75
7834;17.5,21;100.75,302;108.75,27.5;228.75,305;44.75,61.75;84,220.75;170,10.25;219.75,220
7714;17.5,21;74.25,298.25;83.25,36;202,321;52,89.25;82.75,222.75;170,10.25;219.75,267.25
12272;22,0.5;73.5,298;83.25,36;238,299.25;52,89.25;67.75,202.5;187.5,41.5;263,260
119;23,0.25;96,284;113.25,76.25;238,299.25;51.75,68.25;106.25,229;187.5,41.5;269,270.25
38252;44.5,12;71.25,268.75;113.25,76.25;238,299.25;51.75,68.25;124.25,215;182,77.75;250.75,296.5
34536;63.5,16;71.25,268.75;135.75,65.25;238,299.25;21.75,86.25;90.5,185.75;207.75,111.25;212.75,285.75
25376;63.5,16;71.75,267.25;119.5,70.75;238,299.25;19.25,51.5;82,168.25;170,104.25;215.5,290.75
504;63.5,16;71.75,268.25;106.75,75.5;209,282.25;19.25,51.5;91.75,180.25;162,136.75;188.5,283.5
28737;63.5,16;71.75,268.25;77.25,87.75;193,295;42.5,71;80.5,209;161.25,136.75;188.5,283.5
38149;63.5,16;71.75,267.25;77.25,87.75;193,295;31.25,53;65.25,219;142,120;183.5,310.75
38680;46.5,12.75;57.25,266.5;62.5,105.75;193,295;28.25,24.25;32,207.25;172.5,106.75;183.5,310.75
4829;49.25,26.75;57.5,268;62.5,105.75;193,295;6.5,35.5;48.75,200.75;130,79;194.25,273.25
38234;36.25,34.5;57.5,268;88.25,101.25;193,295;19,20;36,199.75;142,47.25;194.25,273.25
32320;4.25,52.25;62.75,238.25;88,101.75;193,295;19.25,23.25;50,201.25;156.25,45;194.25,273.25
13955;8.75,53;48.5,234.75;88,101.75;185.5,261;19.25,23.25;70.25,222.5;132.25,33.5;194.25,273.25
37245;15.25,52.75;48.5,234.75;89.5,86.25;185,267;19.75,53.75;75.5,244;105,44.5;194.25,273.25
9395;13.75,53.5;48.5,234.75;91,83;174.75,243.25;32.75,64.75;97.25,249.75;105,44.5;174.5,296.5
37106;2,54;31,267.75;80,86;174.75,243.25;17.75,55;97.25,249.75;99.75,49;174.5,296.5
22676;13.5,78.5;23.5,228;80,86;145.5,236.25;28.75,21.5;63,267.5;99.75,49;168.25,257.25
37972;0.5,48.25;16,250;80,86;143.75,240;25,53.25;63,267.5;99.75,49;166.75,247
6013;0.5,48.25;19.5,278.25;79.25,86.5;148.5,203;28.25,19.75;36.5,251.75;100.25,48.5;166.75,247
13021;18,55.5;19.5,278.25;79.25,86.5;148.5,203;16.75,45.75;58.25,261.25;92,12;149.5,236.5
33765;17.75,55;44.25,308;74.75,111;144.25,212.75;16.75,45.75;59.25,261.5;82,24.75;149.5,236.5
28349;17.75,55;27.75,319;88.75,111;147.75,218.25;2.25,47.5;59.25,261.5;60.75,10.75;149.5,236.5
38732;17.75,55;34.5,318.75;103.25,87;122.5,212.75;19.25,10.5;59.25,261.5;60.75,10.75;149.5,236.5
7647;17.75,55;46.5,288.75;103.25,87.5;122.5,212.75;20.75,23;27,300.25;81.5,36;149.5,236.5
24991;21.75,9.25;92.75,283.5;103.25,87.5;167.5,206;23.25,6;27,300.25;81.75,35.5;149.5,236.5
37682;22.25,9;84.75,239;100.5,74;167.5,206;21.5,24;34.75,317.75;56,57.25;149.5,236.5
20418;22.5,8.25;100,272.5;104.75,110;139.25,188.5;21.5,24;34.75,317.75;50.5,70;136,204.25
2099;31.5,51.75;100,272.5;100.25,73.75;165.75,153;19.75,10.5;36,320;50.5,70;111.75,235
11354;31.5,51.75;73.25,246;100.25,73.75;165.25,140.5;21,9.5;36,320;43.75,50;91.75,228.25
11041;13.5,71.5;81,276.5;135,92;138.75,126;21.75,9.5;23,286.25;43.75,50;91.75,228.25
14850;13.5,71.5;84.75,238.5;102.5,111.75;172.75,102.5;23,48.25;23,286.25;40.75,49.5;125,204.75
14929;6.5,78.5;73,213.5;93.75,89.25;173.25,102.25;23,48.25;33.25,319.25;40.75,49.5;97.75,172.75
26566;6.5,78.5;71.5,214.75;132.75,111;173.25,102.25;18.75,24.25;35.75,318.75;40.75,49.5;72.5,182.25
37291;20.5,78;98.75,188.75;126.25,145.5;171.75,102.25;18.75,24.25;35.75,318.75;78.5,33.25;94.5,211.5
20289;47.75,115.5;135.25,156.5;157.5,120.25;171,62.5;18.75,24.25;35.75,318.75;78.75,33.75;97.5,188
27739;49.5,101.25;135.25,156.5;139.25,110.75;164.25,28.75;18.75,24.25;36,320;68.25,43;98,183.5
23509;22,96.75;126,126;141.75,113.5;199.5,20.75;18.75,24.25;36,320;55,5.5;98,183.5
14507;2,96.5;99.75,142.75;101.5,111.75;199.5,20.75;18.75,24.25;36,320;50.25,31.5;98,183.5
35938;2,96.5;99.75,142.25;100.75,100.5;200.25,21.25;18.75,24.25;23.5,313.25;50.25,31.5;66.75,202.5
5038;1,98.5;64.75,159.75;104.75,101.75;198.25,46.5;18.75,24.25;44,299.25;50.25,31.5;53,165.75
38393;1,98.5;64.75,159.75;133,111;224.5,60.25;28.75,21.75;50,300.5;50.25,31.5;93,147.25
36649;1.5,98;72.25,163.25;153,93;240.75,25;3.75,27;50,300.5;52.75,27;93,147.25
17815;23.75,127.75;60.5,203.5;191.5,113.25;240.75,25;3.75,26.5;31.5,315.5;72.5,16.75;93,147.25
21003;55,101.25;60.5,203.5;191.5,112.75;234.5,34;34,40.25;43,301.5;72.5,16.75;135,129.5
6393;55,101.25;91,220.5;200.75,103.5;213.5,43.5;34,40.25;45.75,315.25;72.75,17.25;155.75,152
32662;47,116;72.75,220.25;200.75,103.5;242.75,68;33.75,41.25;45.75,315.25;75,5.75;145.5,174.5
4657;46.25,116;59.5,183.25;200.75,81.75;213.25,47.75;33.75,41.25;62,301;75,5.75;162,175.5
20641;17,114.75;19.5,198.5;199.75,81.75;221.25,68.75;13.25,16.5;62,301;74.75,6.75;162,175.5
508;17,114.75;19,198.25;168.75,113;186.75,43;47.75,50;56.5,277.5;74.75,6.75;162,175.5
34161;19.75,114.25;40.75,200;157,100;186.75,43;53.25,51.25;56.5,277.5;75.25,6.75;186.5,171.25
13206;19.75,114.25;49,189.75;129.5,106;218,36.75;63.75,88.5;69.5,308;75.25,6.75;154.25,147
